번호,카테고리,문구,유형
59,팀워크·태도·인성,"인사와 태도는 실력보다 먼저 눈에 띈다.",오리지널
60,팀워크·태도·인성,"나를 돋보이게 하는 플레이보다, 팀을 이기게 하는 플레이를 하라.",오리지널
61,팀워크·태도·인성,"실력은 너를 뽑히게 하지만, 인성은 너를 남게 한다.",오리지널
62,팀워크·태도·인성,"심판의 판정에 화내는 5초에, 다음 플레이를 준비하라.",오리지널
63,팀워크·태도·인성,"동료의 실수를 탓하는 선수는, 자기 실수도 숨긴다.",오리지널
64,팀워크·태도·인성,"진짜 리더는 잘할 때 조용하고, 질 때 앞장선다.",오리지널
65,팀워크·태도·인성,"골을 넣은 발보다, 그 골을 만든 패스를 기억하는 선수가 되어라.",오리지널
66,팀워크·태도·인성,"코치의 지적은 벌이 아니라, 너에게 거는 기대다.",오리지널
67,팀워크·태도·인성,"이긴 뒤 겸손하고, 진 뒤 당당한 것 — 그게 진짜 강한 선수다.",오리지널
68,팀워크·태도·인성,"팀 동료는 경쟁자가 아니라, 나를 더 좋은 선수로 만드는 거울이다.",오리지널
69,목표·꿈,"꿈은 크게, 오늘 할 일은 작게 적어라.",오리지널
70,목표·꿈,"목표가 분명하면, 힘든 훈련도 이유가 된다.",오리지널
71,목표·꿈,"되고 싶은 선수를 종이에 적는 순간, 훈련의 방향이 생긴다.",오리지널
72,목표·꿈,"막연히 '잘하고 싶다'는 꿈이 아니라 소원이다. 오늘 무엇을 할지 정해야 꿈이 된다.",오리지널
73,목표·꿈,"큰 목표는 작은 오늘로 쪼갤 때 비로소 이룰 수 있다.",오리지널
74,목표·꿈,"10년 뒤의 나를 상상하는 시간이, 오늘의 나를 움직인다.",오리지널
75,목표·꿈,"목표를 남에게 말하라. 말은 나를 도망치지 못하게 한다.",오리지널
76,목표·꿈,"롤모델을 따라 하는 것으로 시작해, 나만의 색을 만들어가라.",오리지널
77,목표·꿈,"결과 목표(우승)보다 과정 목표(오늘 무엇을)를 세워야 매일 이긴다.",오리지널
78,목표·꿈,"꿈이 흔들릴 때, 왜 시작했는지를 떠올려라.",오리지널
79,승부·경쟁,"이기려 하지 말고, 이길 준비가 된 사람이 되어라.",오리지널
80,승부·경쟁,"경쟁자는 미워할 상대가 아니라, 함께 크는 파트너다.",오리지널
81,승부·경쟁,"상대는 내 한계를 끌어올리러 온 선물이다.",오리지널
82,승부·경쟁,"강한 상대를 만나는 건 벌이 아니라, 나를 시험할 기회다.",오리지널
83,승부·경쟁,"이겨도 배우고 져도 배우면, 사실 진 경기는 없다.",오리지널
84,승부·경쟁,"승부는 경기장에서 나기 전에, 훈련장에서 이미 절반이 난다.",오리지널
85,승부·경쟁,"오늘의 경쟁자가 내일의 가장 좋은 친구가 된다.",오리지널
86,승부·경쟁,"남을 이기는 것보다, 어제의 나를 이기는 게 더 어렵고 더 값지다.",오리지널
87,기본기·과정,"화려한 기술은 지루한 기본기 위에서만 빛난다.",오리지널
88,기본기·과정,"결과는 내 것이 아니지만, 과정은 온전히 내 것이다.",오리지널
89,기본기·과정,"기본기는 눈이 오나 비가 오나 나를 배신하지 않는 유일한 무기다.",오리지널
90,기본기·과정,"잘 차는 법보다, 매일 차는 습관을 먼저 익혀라.",오리지널
91,기본기·과정,"급하게 배운 기술은 급하게 사라지고, 천천히 쌓은 기본은 오래 남는다.",오리지널
92,기본기·과정,"프로가 되어도 가장 많이 하는 훈련은 가장 기본적인 훈련이다.",각색(인터뷰 영감)
93,기본기·과정,"지금 재미없는 기본기가, 나중에 재미있는 경기를 만든다.",오리지널
94,기본기·과정,"과정에 집중하면 결과가 따라오고, 결과에만 집착하면 과정을 망친다.",오리지널
95,몸·회복·습관,"잘 자는 것도 훈련이다.",오리지널
96,몸·회복·습관,"몸이 지치면 멘탈이 먼저 무너진다. 쉬는 것도 실력이다.",오리지널
97,몸·회복·습관,"오늘의 회복이 내일의 전력이다.",오리지널
98,몸·회복·습관,"좋은 선수는 훈련만 관리하지 않는다. 먹는 것, 자는 것, 마음까지 관리한다.",오리지널
99,몸·회복·습관,"부상을 무릅쓰는 건 용기가 아니라, 내일을 잃는 일이다.",오리지널
100,몸·회복·습관,"몸을 아끼라는 게 아니다. 오래 뛰기 위해 지혜롭게 쓰라는 것이다.",오리지널
